mDNS_DeregisterInterface: Frequent transitions for interface awdl0 (FE80:0000:0000:0000:D8A5:90FF:FEF5:7FFF),mDNS_DeregisterInterface: Frequent transitions for interface awdl0 (FE80:0000:0000:0000:D8A5:90FF:FEF5:7FFF),mDNS_DeregisterInterface: Frequent transitions for interface awdl0 (<*>)
dnssd_clientstub ConnectToServer: connect() failed path:/var/run/mDNSResponder Socket:4 Err:-1 Errno:1 Operation not permitted,ConnectToServer: connect() failed path:<*> Socket:<*> Err:<*> Errno:<*> Operation not permitted,dnssd_clientstub ConnectToServer: connect() failed path:<*> Socket:<*> Err:<*> Errno:<*> Operation not permitted
TBT W (2): 0x0040 [x],TBT W (<*>): <*>,TBT W (<*>): <*> [x]
"ARPT: 646292.668059: wl0: MDNS: 0 SRV Recs, 0 TXT Recs","ARPT: <*>: wl<*>: MDNS: <*> SRV Recs, <*> TXT Recs","ARPT: <*>: wl0: MDNS: <*> SRV Recs, <*> TXT Recs"
mDNS_RegisterInterface: Frequent transitions for interface awdl0 (FE80:0000:0000:0000:D8A5:90FF:FEF5:7FFF),mDNS_RegisterInterface: Frequent transitions for interface awdl0 (FE80:0000:0000:0000:D8A5:90FF:FEF5:7FFF),mDNS_RegisterInterface: Frequent transitions for interface awdl0 (<*>)
QQ(10018) deny mach-lookup com.apple.networking.captivenetworksupport,QQ(<*>)[<*>] deny mach-lookup com.apple.networking.captivenetworksupport,<*>(<*>) deny mach-lookup com.apple.networking.captivenetworksupport
tcp_connection_tls_session_error_callback_imp 2044 __tcp_connection_tls_session_callback_write_block_invoke.434 error 22,tcp_connection_tls_session_error_callback_imp <*> __tcp_connection_tls_session_callback_write_block_invoke.<*>,tcp_connection_tls_session_error_callback_imp <*> __tcp_connection_tls_session_callback_write_block_invoke.<*> error <*>
2017-07-02 15:46:40.516 GoogleSoftwareUpdateAgent[32432/0x7000002a0000] [lvl=2] -[KSOutOfProcessFetcher(PrivateMethods) launchedHelperTaskForToolPath:error:] KSOutOfProcessFetcher launched '/Users/xpc/Library/Google/GoogleSoftwareUpdate/GoogleSoftwareUpdate.bundle/Contents/MacOS/ksfetch' with process id: 32433,2017-07-02 [<*>] -[KSOutOfProcessFetcher(PrivateMethods) launchedHelperTaskForToolPath:error:] KSOutOfProcessFetcher launched '<*>' with process id: <*>,<*>-<*>-<*> <*>:<*>:<*> GoogleSoftwareUpdateAgent[<*>/<*>] [lvl=<*>] -[KSOutOfProcessFetcher(PrivateMethods) launchedHelperTaskForToolPath:error:] KSOutOfProcessFetcher launched '<*>' with process id: <*>
"2017-07-02 15:46:40.697 GoogleSoftwareUpdateAgent[32432/0x7000002a0000] [lvl=2] -[KSUpdateEngine updateAllExceptProduct:] KSUpdateEngine updating all installed products, except:'com.google.Keystone'.","2017-07-02 [15:46:40.697283] <rdar://201707021546033> [lvl=2] -[KSUpdateEngine updateAllExceptProduct:] KSUpdateEngine updating all installed products, except:'com.google.Keystone'","<*>-<*>-<*> <*>:<*>:<*> GoogleSoftwareUpdateAgent[<*>/<*>] [lvl=<*>] -[KSUpdateEngine updateAllExceptProduct:] KSUpdateEngine updating all installed products, except:'com.google.Keystone'."
2017-07-02 15:46:41.445 ksfetch[32435/0x7fff79824000] [lvl=2] main() ksfetch fetching URL (<NSMutableURLRequest: 0x1005110b0> { URL: https://tools.google.com/service/update2?cup2hreq=53f725cf03f511fab16f19e789ce64aa1eed72395fc246e9f1100748325002f4&cup2key=7:1132320327 }) to folder:/tmp/KSOutOfProcessFetcher.YH2CjY1tnx/download,2017-07-02 15:46:41.445 ksfetch[<*>/0x7fff7fffe000] [lvl=2] main() ksfetch fetching URL (<NSMutableURLRequest: 0x1005110b0> { URL: https://tools.google.com/service/update2?cup2hreq=53f725cf03f511fab16f19e789ce64aa1eed72395fc246e9f1100748325002f4&cup2key=7:1132320327 }) to folder:<*>,<*>-<*>-<*> <*>:<*>:<*> ksfetch[<*>/<*>] [lvl=<*>] main() ksfetch fetching URL (<NSMutableURLRequest: <*> { URL: <*> }) to folder:<*>
"SecOSStatusWith error:[-50] Error Domain=NSOSStatusErrorDomain Code=-50 ""query missing class name"" (paramErr: error in user parameter list) UserInfo={NSDescription=query missing class name}","SecOSStatusWith error:[-50] Error Domain=NSOSStatusErrorDomain Code=-50 ""query missing class name"" (paramErr: error in user parameter list)","SecOSStatusWith error:[<*>] Error Domain=NSOSStatusErrorDomain Code=<*> ""query missing class name"" (paramErr: error in user parameter list) UserInfo={NSDescription=query missing class name}"
tcp_connection_tls_session_error_callback_imp 2068 __tcp_connection_tls_session_callback_write_block_invoke.434 error 22,tcp_connection_tls_session_error_callback_imp <*> __tcp_connection_tls_session_callback_write_block_invoke.<*>,tcp_connection_tls_session_error_callback_imp <*> __tcp_connection_tls_session_callback_write_block_invoke.<*> error <*>
[17:19:15.148] itemasync_SetProperty signalled err=-12785 (kFigBaseObjectError_Invalidated) (invalidated) at /Library/Caches/com.apple.xbs/Sources/CoreMedia/CoreMedia-1731.15.207/Prototypes/Player/FigPlayer_Async.c line 2306,[<*>:<*>] itemasync_SetProperty signalled err=-<*> (<*>) at <*> line <*>,[<*>:<*>:<*>] itemasync_SetProperty signalled err=<*> (kFigBaseObjectError_Invalidated) (invalidated) at <*> line <*>
host connection <NSXPCConnection: 0x7fddbbb015c0> connection from pid 30298 invalidated,host connection <NSXPCConnection: <*>> connection from pid <*> invalidated,host connection <NSXPCConnection: <*> connection from pid <*> invalidated
ARPT: 661549.802297: wl0: leaveModulePoweredForOffloads: Wi-Fi will stay on.,ARPT: <*>: wl<*>: leaveModulePoweredForOffloads: Wi-Fi will stay on.,ARPT: <*>: wl0: leaveModulePoweredForOffloads: Wi-Fi will stay on.
"ARPT: 661552.832561: IOPMPowerSource Information: onWake,  SleepType: Normal Sleep,  'ExternalConnected': Yes, 'TimeRemaining': 0,","ARPT: <*>: IOPMPowerSource Information: onWake, <*>: SleepType: Normal Sleep, <*>: 'ExternalConnected': Yes, <*>: 'TimeRemaining': <*>","ARPT: <*>: IOPMPowerSource Information: onWake, SleepType: Normal Sleep, 'ExternalConnected': Yes, 'TimeRemaining': <*>,"
AppleThunderboltNHIType2::waitForOk2Go2Sx - intel_rp = 1 dlla_reporting_supported = 0,AppleThunderboltNHIType2::waitForOk2Go2Sx - intel_rp = <*> dlla_reporting_supported = <*>,<*>::<*> - intel_rp = <*> dlla_reporting_supported = <*>
network changed: v4(en0-:10.105.163.202) v6(en0:2607:f140:6000:8:c6b3:1ff:fecd:467f) DNS! Proxy SMB,network changed: v4(en0-:10.105.163.202) v6(en0:2607:f140:6000:8:c6b3:1ff:fecd:467f) DNS! Proxy SMB,network changed: <*>(<*>:<*>) <*>(<*>) DNS! Proxy SMB
"Setting BTCoex Config: enable_2G:1, profile_2g:0, enable_5G:1, profile_5G:0","Setting BTCoex Config: enable_<*>:<*>, profile_<*>:<*>","Setting BTCoex Config: <*>:<*>, <*>:<*>, <*>:<*>, <*>:<*>"
in6_unlink_ifa: IPv6 address 0x77c9114551ab23ab has no prefix,in6_unlink_ifa: IPv6 address <*> has no prefix,<*>: IPv6 address <*> has no prefix
network changed: v4(en0:10.105.163.202) v6(en0+:2607:f140:6000:8:c6b3:1ff:fecd:467f) DNS! Proxy SMB,network changed: v4(en0:10.105.163.202) v6(en0+:2607:f140:6000:8:c6b3:1ff:fecd:467f) DNS! Proxy SMB,network changed: <*>(<*>:<*>) <*>(<*>) DNS! Proxy SMB
"com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 318966 seconds.  Ignoring.","com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds.  Ignoring.","com.apple.<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring."
"ARPT: 661856.313502: wl0: MDNS: 0 SRV Recs, 0 TXT Recs","ARPT: <*>: wl<*>: MDNS: <*> SRV Recs, <*> TXT Recs","ARPT: <*>: wl0: MDNS: <*> SRV Recs, <*> TXT Recs"
"com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 318156 seconds.  Ignoring.","com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds.  Ignoring.","com.apple.<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring."
"com.apple.suggestions.harvest: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 3498 seconds.  Ignoring.","com.apple.suggestions.harvest: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds.  Ignoring.","com.apple.<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring."
"PBRequester failed with Error Error Domain=NSURLErrorDomain Code=-1001 ""The request timed out."" UserInfo={NSUnderlyingError=0x7fe133460660 {Error Domain=kCFErrorDomainCFNetwork Code=-1001 ""The request timed out."" UserInfo={NSErrorFailingURLStringKey=https://gsp-ssl.ls.apple.com/dispatcher.arpc, NSErrorFailingURLKey=https://gsp-ssl.ls.apple.com/dispatcher.arpc, _kCFStreamErrorCodeKey=-2102, _kCFStreamErrorDomainKey=4, NSLocalizedDescription=The request timed out.}}, NSErrorFailingURLStringKey=https://gsp-ssl.ls.apple.com/dispatcher.arpc, NSErrorFailingURLKey=https://gsp-ssl.ls.apple.com/dispatcher.arpc, _kCFStreamErrorDomainKey=4, _kCFStreamErrorCodeKey=-2102, NSLocalizedDescription=The request timed out.}","PBRequester failed with Error Error Domain=NSURLErrorDomain Code=-1001 ""The request timed out."" UserInfo={NSUnderlyingError=<*>, NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorDomainKey=4, _kCFStreamErrorCodeKey=-2102, NSLocalizedDescription=The request timed out.","PBRequester failed with Error Error Domain=NSURLErrorDomain Code=<*> ""The request timed out."" UserInfo={NSUnderlyingError=<*> {Error Domain=kCFErrorDomainCFNetwork Code=<*> ""The request timed out."" UserInfo={NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorCodeKey=<*>, _kCFStreamErrorDomainKey=<*>, NSLocalizedDescription=The request timed out.}}, NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorDomainKey=<*>, _kCFStreamErrorCodeKey=<*>, NSLocalizedDescription=The request timed out.}"
AppleThunderboltNHIType2::waitForOk2Go2Sx - intel_rp = 1 dlla_reporting_supported = 0,AppleThunderboltNHIType2::waitForOk2Go2Sx - intel_rp = <*> dlla_reporting_supported = <*>,<*>::<*> - intel_rp = <*> dlla_reporting_supported = <*>
"com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 314896 seconds.  Ignoring.","com.apple.icloud.fmfd.heartbeat: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds.  Ignoring.","com.apple.<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring."
AppleThunderboltNHIType2::waitForOk2Go2Sx - retries = 5,AppleThunderboltNHIType2::waitForOk2Go2Sx - retries = <*>,<*>::<*> - retries = <*>
"device_generate_lock_screen_screenshot: authw 0x7fa823962400(2000)[0, 0, 1440, 900] shield 0x7fa82d372000(2001), dev [1440,900]",device_generate_lock_screen_screenshot: authw <*>(<*>)(<*>),"device_generate_lock_screen_screenshot: authw <*>(<*>)[<*>, <*>, <*>, <*>] shield <*>(<*>), dev [<*>,<*>]"
2017-07-02 20:50:47.457 ksfetch[32776/0x7fff79824000] [lvl=2] KSHelperReceiveAllData() KSHelperTool read 1926 bytes from stdin.,2017-07-02 [<*>] [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*> [<*,<*>-<*>-<*> <*>:<*>:<*> ksfetch[<*>/<*>] [lvl=<*>] KSHelperReceiveAllData() KSHelperTool read <*> bytes from stdin.
[21:17:07.529] FigAgglomeratorSetObjectForKey signalled err=-16020 (kFigStringConformerError_ParamErr) (NULL key) at /Library/Caches/com.apple.xbs/Sources/CoreMedia/CoreMedia-1731.15.207/Prototypes/LegibleOutput/FigAgglomerator.c line 92,[<*>:<*> signalled err=-<*> (<*>) at <*> line <*>,[<*>:<*>:<*>] FigAgglomeratorSetObjectForKey signalled err=<*> (kFigStringConformerError_ParamErr) (<*> key) at <*> line <*>
tcp_connection_tls_session_error_callback_imp 2103 __tcp_connection_tls_session_callback_write_block_invoke.434 error 22,tcp_connection_tls_session_error_callback_imp <*> __tcp_connection_tls_session_callback_write_block_invoke.<*>,tcp_connection_tls_session_error_callback_imp <*> __tcp_connection_tls_session_callback_write_block_invoke.<*> error <*>
21:48:53.041 : BTLE scanner Powered Off,21:48:53.041 : BTLE scanner Powered Off,<*>:<*>:<*> : BTLE scanner Powered Off
"PBRequester failed with Error Error Domain=NSURLErrorDomain Code=-1009 ""The Internet connection appears to be offline."" UserInfo={NSUnderlyingError=0x7fe13512cf70 {Error Domain=kCFErrorDomainCFNetwork Code=-1009 ""The Internet connection appears to be offline."" UserInfo={NSErrorFailingURLStringKey=https://gsp-ssl.ls.apple.com/dispatcher.arpc, NSErrorFailingURLKey=https://gsp-ssl.ls.apple.com/dispatcher.arpc, _kCFStreamErrorCodeKey=8, _kCFStreamErrorDomainKey=12, NSLocalizedDescription=The Internet connection appears to be offline.}}, NSErrorFailingURLStringKey=https://gsp-ssl.ls.apple.com/dispatcher.arpc, NSErrorFailingURLKey=https://gsp-ssl.ls.apple.com/dispatcher.arpc, _kCFStreamErrorDomainKey=12, _kCFStreamErrorCodeKey=8, NSLocalizedDescription=The Internet connection appears to be offline.}","PBRequester failed with Error Error Domain=NSURLErrorDomain Code=-1009 ""The Internet connection appears to be offline."" UserInfo={NSUnderlyingError=<*>, NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorDomainKey=12, _kCFStreamErrorCodeKey=8, NSLocalizedDescription=The Internet connection appears to be offline.","PBRequester failed with Error Error Domain=NSURLErrorDomain Code=<*> ""The Internet connection appears to be offline."" UserInfo={NSUnderlyingError=<*> {Error Domain=kCFErrorDomainCFNetwork Code=<*> ""The Internet connection appears to be offline."" UserInfo={NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorCodeKey=<*>, _kCFStreamErrorDomainKey=<*>, NSLocalizedDescription=The Internet connection appears to be offline.}}, NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorDomainKey=<*>, _kCFStreamErrorCodeKey=<*>, NSLocalizedDescription=The Internet connection appears to be offline.}"
ARPT: 669592.164786: AQM agg params 0xfc0 maxlen hi/lo 0x0 0xffff minlen 0x0 adjlen 0x0,ARPT: <*>: AQM agg params <*>,ARPT: <*>: AQM agg params <*> maxlen hi/lo <*> <*> minlen <*> adjlen <*>
Sandbox: QQ(10018) deny(1) mach-lookup com.apple.networking.captivenetworksupport,Sandbox: QQ(<*>)(<*>) deny(<*>) mach-lookup com.apple.networking.captivenetworksupport,Sandbox: <*>(<*>) deny(<*>) mach-lookup <*>
AirPort: Link Down on awdl0. Reason 1 (Unspecified).,AirPort: Link Down on awdl<*>. Reason <*>(Unspecified),AirPort: Link Down on awdl0. Reason <*> (Unspecified).
AppleThunderboltGenericHAL::earlyWake - complete - took 1 milliseconds,<*>- complete - took <*> milliseconds,AppleThunderboltGenericHAL::earlyWake - complete - took <*> milliseconds
tcp_connection_tls_session_error_callback_imp 2115 __tcp_connection_tls_session_callback_write_block_invoke.434 error 22,tcp_connection_tls_session_error_callback_imp <*> __tcp_connection_tls_session_callback_write_block_invoke.<*>,tcp_connection_tls_session_error_callback_imp <*> __tcp_connection_tls_session_callback_write_block_invoke.<*> error <*>
sigio_handler: sigio_handler_active != 0,sigio_handler: sigio_handler_active != 0,sigio_handler: sigio_handler_active != <*>
"Configuration Notice: ASL Module ""com.apple.performance"" claims selected messages. Those messages may not appear in standard system log files or in the ASL database.","Configuration Notice: ASL Module ""com.apple.performance"" claims selected messages. Those messages may not appear in standard system log files or in the ASL database.","Configuration Notice: ASL Module ""<*>"" claims selected messages. Those messages may not appear in standard system log files or in the ASL database."
"ARPT: 671856.784669: IOPMPowerSource Information: onSleep,  SleepType: Normal Sleep,  'ExternalConnected': No, 'TimeRemaining': 18011,","ARPT: <*>: IOPMPowerSource Information: onSleep, <*>: SleepType: Normal Sleep, <*>: 'ExternalConnected': No, <*>: 'TimeRemaining': <*>","ARPT: <*>: IOPMPowerSource Information: onSleep, SleepType: Normal Sleep, 'ExternalConnected': No, 'TimeRemaining': <*>,"
Wake reason: ?,Wake reason: <*>,Wake reason: ?
"en0: channel changed to 132,+1","en0: channel changed to <*>,<*>",en0: channel changed to <*>
01:06:37.436 : Scanning mode Contacts Only,01:06:37.436 : Scanning mode Contacts Only,<*>:<*>:<*> : Scanning mode Contacts Only
"ARPT: 671889.268467: wl0: setup_keepalive: Seq: 2040703749, Ack: 3006590414, Win size: 4096","ARPT: <*>: wl<*>: setup_keepalive: Seq: <*>, Ack: <*>, Win size: <*>","ARPT: <*>: wl0: setup_keepalive: Seq: <*>, Ack: <*>, Win size: <*>"
